#Table1
u,g,r,i,z,class,z1,zerr
19.55342,17.92583,16.83414,16.32819,15.97097,GALAXY,0.1730834,2.904211E-05
18.63171,17.29473,17.41449,17.52766,17.57587,STAR,0.0001884494,1.263864E-05
19.43192,17.95856,17.31768,17.02825,16.87556,STAR,0.0001104561,7.95144E-06
18.80659,18.45321,18.5201,18.5227,18.51097,QSO,0.6889141,0.0001244519
17.58621,16.31803,15.74324,15.49418,15.3394,STAR,0.0006422338,8.762944E-06
18.01385,16.8938,16.37582,16.0431,15.80728,GALAXY,0.05738739,9.005134E-06
19.4963,17.50761,16.49694,16.04645,15.65593,GALAXY,0.1011211,2.491475E-05
19.31261,17.92668,16.90671,16.4519,16.12989,GALAXY,0.1858507,3.549407E-05
19.58637,18.55178,18.33002,18.25182,18.11426,QSO,2.611809,0.0001492572
19.58939,18.13157,17.51783,17.25751,17.13592,STAR,-0.0003127082,9.730739E-06
18.36494,17.42248,17.10221,16.98496,16.95551,STAR,-0.0005196354,1.377622E-05
17.92417,17.1316,17.21038,16.83104,17.02318,GALAXY,0.05226389,5.196939E-06
17.74463,16.70406,16.18504,15.82808,15.59007,GALAXY,0.05989962,1.061713E-05
18.86775,17.43378,16.88581,16.68209,16.60083,STAR,-8.675743E-05,8.222833E-06
19.43115,18.47126,18.68973,18.88804,19.1371,STAR,-0.0004693951,2.120038E-05
18.19999,16.51522,15.67101,15.18413,14.84827,GALAXY,0.06040059,1.541695E-05
18.84887,17.81103,17.37537,17.09401,16.87174,GALAXY,0.03439924,6.810927E-06
18.68222,18.17384,17.58022,17.20365,17.05217,QSO,0.1672701,3.867362E-05
17.7677,17.77342,17.55758,17.08405,17.19694,QSO,0.1948131,4.856973E-05
18.35273,17.06079,16.54788,16.34949,16.26493,STAR,-0.0006636349,9.087964E-06
19.29894,19.10943,19.1499,18.96054,19.08581,QSO,1.693671,0.0006314865
19.44517,18.22506,17.65439,17.33776,17.12989,GALAXY,0.05118826,7.193505E-06
19.58144,17.67196,16.5901,16.13092,15.71654,GALAXY,0.1110031,2.127241E-05
18.79482,17.12389,16.26434,15.78734,15.43083,GALAXY,0.05126101,1.237106E-05
19.2603,19.21747,19.08539,19.20484,19.19454,QSO,0.970782,0.00067099
19.36398,19.13952,19.04009,19.03262,18.99361,QSO,0.8551889,0.0002380906
19.18024,18.28075,18.02674,17.90497,17.93232,GALAXY,0,0
19.47498,18.11647,17.49098,17.08845,16.87396,GALAXY,0.07978477,7.811121E-06
18.4541,16.89813,16.25281,15.98573,15.86431,STAR,-0.0003309842,8.471482E-06
18.59593,17.36735,16.87456,16.57438,16.37668,GALAXY,0.05361069,7.421221E-06
19.41236,18.25566,17.65331,17.27918,17.08269,GALAXY,0.09282448,2.694486E-05
16.16504,15.09145,14.88472,14.8348,14.8634,STAR,-9.244034E-05,8.257242E-06
18.84004,17.19868,16.41007,16.00072,15.70059,GALAXY,0.03001823,1.592244E-05
19.06147,18.00634,17.90985,17.89345,17.92812,STAR,0.0003915128,1.125334E-05
19.21977,18.12416,17.73578,17.49797,17.34069,GALAXY,0.05812947,5.502845E-06
19.48766,17.58667,16.26419,15.75072,15.36806,GALAXY,0.1780025,2.200537E-05
19.44218,19.15771,18.67875,18.60043,18.59891,QSO,1.326471,0.0003143879
17.92956,16.97085,16.67493,16.57853,16.57797,STAR,-0.0002760553,1.490363E-05
18.8445,16.87731,15.91288,15.43145,15.10217,GALAXY,0.08900082,1.929545E-05
19.47674,17.95767,17.43525,17.13497,17.04401,GALAXY,0.1019792,8.91765E-06
19.09018,17.71526,17.15402,16.9229,16.81299,STAR,-0.0001520788,8.656891E-06
18.609,17.59528,17.14993,16.87363,16.87432,GALAXY,0.05857996,6.642575E-06
17.7905,16.60599,16.59216,16.63943,16.71154,STAR,-0.0002820732,6.718761E-06
18.97711,17.83547,17.37365,17.13258,17.0965,STAR,-0.0008793102,1.393532E-05
19.24437,17.84476,17.15234,16.77283,16.56017,GALAXY,0.1179339,3.495574E-05
19.49358,18.38686,17.99731,17.87583,17.82025,STAR,-0.0002112087,1.245445E-05
18.32209,17.18002,16.74039,16.55979,16.49322,STAR,7.944619E-05,1.187983E-05
18.74475,17.40955,16.74747,16.33315,16.09785,GALAXY,0.05676643,1.120093E-05
17.13623,15.92839,16.12088,16.26626,16.34118,STAR,-0.0005881399,4.205147E-06
18.7091,17.22708,16.6787,16.46576,16.37107,STAR,-0.0001505525,8.553149E-06
16.25774,14.6196,14.02333,13.83808,13.76533,STAR,-0.0002511457,9.168399E-06
18.35434,17.09916,16.49661,16.20484,16.03421,GALAXY,0.0330619,1.220559E-05
18.35641,16.53646,15.72104,15.32286,15.023,GALAXY,0.03272505,1.010996E-05
19.03441,17.44816,16.72469,16.41706,16.17486,STAR,0.0001905513,8.883484E-06
18.32753,16.27896,15.33193,14.86648,14.52532,GALAXY,0.05801063,1.030131E-05
18.18789,16.85018,16.35707,16.1054,16.03709,GALAXY,0.03189712,1.910151E-05
17.66187,16.47628,16.05894,15.8965,15.86874,STAR,-0.0001817669,9.39013E-06
19.46908,17.76117,17.14516,16.93181,16.84913,STAR,-0.0001358718,8.571699E-06
19.48826,17.87487,17.22807,16.97149,16.84796,STAR,-0.0001569999,1.107229E-05
18.58708,17.41987,17.53126,17.65388,17.74253,STAR,0.0002328358,7.149307E-06
18.64399,17.70338,17.42823,17.33116,17.31368,STAR,5.942075E-05,1.235189E-05
18.15559,17.18988,16.88961,16.78229,16.72885,STAR,-0.0001901472,1.403235E-05
17.5341,16.11169,15.50705,15.26577,15.1504,STAR,-0.0002877333,9.094475E-06
16.54303,16.92914,17.41603,17.76734,18.01381,STAR,-0.0008606191,2.168391E-05
19.32286,17.97176,17.3399,16.97019,16.75967,GALAXY,0.08653022,9.343291E-06
19.41946,18.46155,18.13817,17.98312,17.93011,STAR,-0.0001333233,2.577616E-05
17.54755,16.30399,16.35522,16.42949,16.49415,STAR,-0.000168321,6.296178E-06
19.31514,17.57479,16.57275,16.10576,15.74295,GALAXY,0.1393879,3.234429E-05
16.95146,15.3029,14.70277,14.49707,14.41589,STAR,4.297962E-05,8.175203E-06
19.25094,17.72985,17.01568,16.72164,16.58529,STAR,-0.0003936753,1.05198E-05
19.54707,18.4164,17.72314,17.29734,17.06098,GALAXY,0.1557584,7.9164E-06
17.57934,15.54197,14.51104,13.9309,13.48422,GALAXY,0.02328428,9.970111E-06
19.08983,17.44996,16.81089,16.56878,16.46185,STAR,-0.000429972,8.027519E-06
18.21299,17.03539,16.46912,16.21379,16.08035,STAR,-0.0001654124,1.356639E-05
19.58516,19.52892,19.85972,20.12007,20.32395,STAR,-2.928849E-05,0.0001254756
17.55297,15.88046,15.02163,14.57618,14.22619,GALAXY,0.05128013,1.338413E-05
